RAIS TRABALHADOR  ,,,,,
"(arquivos com separador ponto e virgula - "";"")",,,,,
"OBS: ao encontrar dados como ""-1"",  com ou sem zeros a esquerda, ""{ñ class}"" ou ""{ñclass}"" , ou parte do texto, considerar como ignorado.",,,,,
Nome,Descricao da Variável,Tamanho(em bytes),Categorias,Valor na Fonte,
MUN TRAB,Município onde o empregado esteja trabalhando ou prestando serviço - a partir de 2002,6,MUN<99.9999>,999999,
MUNICIPIO,Município de localização do estabelecimento,6,MUN<99.9999>,999999,
,,,IGNORADO <UF>,<UF>9999,
,,,IGNORADO,-1,
NACIONALIDAD,Nacionalidade,2,Brasileira,10,
,,,Naturalidade Brasileira,20,
,,,Argentina,21,
,,,Boliviana,22,
,,,Chilena,23,
,,,Paraguaia,24,
,,,Uruguaia,25,
,,,Venezuelano,26,
,,,Colombiano,27,
,,,Peruano,28,
,,,Equatoriano,29,
,,,Alemã,30,
,,,Belga,31,
,,,Britânica,32,
,,,Canadense,34,
,,,Espanhola,35,
,,,Norte-Americana,36,
,,,Francesa,37,
,,,Suíça,38,
,,,Italiana,39,
,,,Haitiano,40,
,,,Japonesa,41,
,,,Chinesa,42,
,,,Coreana,43,
,,,Russo,44,
,,,Portuguesa,45,
,,,Paquistanês,46,
,,,Indiano,47,
,,,Outras Latino-Americanas,48,
,,,Outras Asiáticas,49,
,,,Outras Nacionalidades,50,
,,,Outros Europeus,51,
,,,Bengalesa,59,
,,,Angolano,60,
,,,Congolês,61,
,,,Sul-Africano,62,
,,,Ganesa,63,
,,,Senegalesa,64,
,,,Outros Africanos,70,
,,,Outros,80,
,,,IGNORADO,-1,
NAT JURIDICA,NAT JURIDICA Natureza Jurídica (CONCLA/2002) - a partir da RAIS2008,4,POD EXEC FE,1015,
,,,POD EXEC ES,1023,
,,,POD EXEC MU,1031,
,,,POD LEG FED,1040,
,,,POD LEG EST,1058,
,,,POD LEG MUN,1066,
,,,POD JUD FED,1074,
,,,POD JUD EST,1082,
,,,AUTARQ FED,1104,
,,,AUTARQ EST,1112,
,,,AUTARQ MUN,1120,
,,,FUNDAC FED,1139,
,,,FUNDAC EST,1147,
,,,FUNDAC MUN,1155,
,,,ORG AUT FED,1163,
,,,ORG AUT EST,1171,
,,,ORG AUT MUN,1180,
,,,COM POLINAC,1198,
,,,FUNDO PUBLIC,1201,
,,,ASSOC PUBLIC,1210,
,,,EMP PUB,2011,
,,,SOC MISTA,2038,
,,,SA ABERTA,2046,
,,,SA FECH,2054,
,,,SOC QT LTDA,2062,
,,,SOC COLETV,2070,
,,,SOC COLETV07,2076,
,,,SOC COMD SM,2089,
,,,SOC COMD AC,2097,
,,,SOC CAP IND,2100,
,,,SOC CIVIL,2119,
,,,SOC CTA PAR,2127,
,,,FRM MER IND,2135,
,,,COOPERATIVA,2143,
,,,CONS EMPRES,2151,
,,,GRUP SOC,2160,
,,,FIL EMP EXT,2178,
,,,FIL ARG-BRA,2194,
,,,ENT ITAIPU,2208,
,,,EMP DOM EXT,2216,
,,,FUN INVEST,2224,
,,,SOC SIMP PUR,2232,
,,,SOC SIMP LTD,2240,
,,,SOC SIMP COL,2259,
,,,SOC SIMP COM,2267,
,,,EMPR BINAC,2275,
,,,CONS EMPREG,2283,
,,,CONS SIMPLES,2291,
,,,CARTORIO,3034,
,,,ORG SOCIAL,3042,
,,,OSCIP,3050,
,,,OUT FUND PR,3069,
,,,SERV SOC AU,3077,
,,,CONDOMIN,3085,
,,,UNID EXEC,3093,
,,,COM CONC,3107,
,,,ENT MED ARB,3115,
,,,PART POLIT,3123,
,,,ENT SOCIAL,3130,
,,,ENT SOCIAL07,3131,
,,,FIL FUN EXT,3204,
,,,FUN DOM EXT,3212,
,,,ORG RELIG,3220,
,,,COMUN INDIG,3239,
,,,FUNDO PRIVAD,3247,
,,,OUTR ORG,3999,
,,,EMP IND IMO,4014,
,,,SEG ESPEC,4022,
,,,CONTR IND,4080,
,,,CONTR IND07,4081,
,,,CAN CARG POL,4090,
,,,LEILOEIRO,4111,
,,,ORG INTERN,5002,
,,,ORG INTERNAC,5010,
,,,REPR DIPL ES,5029,
,,,OUT INST EXT,5037,
,,,IGNORADO,-1,
PORT DEFIC,Indicador se o empregado/servidor de portador de deficiência habilitado ou beneficiário reabilitado,1,SIM,1,
,,,NAO,0,
QT DIAS AFAS,Quantidade total de dias de afastamento do empregado/servidor no ano-base - a partir de 2002,3,<999>,999,
RACA_COR,Raça e Cor do Trabalhador,2,INDIGENA,1,
,,,BRANCA,2,
,,,PRETA,4,
,,,AMARELA,6,
,,,PARDA,8,
,,,NAO IDENT,9,
,,,IGNORADO,-1,
REGIOES ADM DF,Raça e Cor do Trabalhador,2,(ver planilha correspondente contida neste arquivo),,
REM DEZ (R$),Remuneração do trabalhador em dezembro (valor nominal) - a partir de 1999,13,<9999999999v99>,".9999999999,99",
REM DEZEMBRO,Remuneração de dezembro em salários mínimos (quando acumulada representa massa salarial),6,<999v99>,"999,99",
REM MED (R$),Remuneração média do trabalhador (valor nominal)  - a partir de 1999,13,<9999999999v99>,".9999999999,99",
REM MEDIA,Remuneração média do ano em salários mínimos (quando acumulada representa massa salarial),6,<999v99>,"999,99",
SB CLAS 20,"Subclasse de Atividade Econômica, segundo classificação CNAE - versão 2.0",7,CLAS <9999999>,9999999,
SEXO,Sexo,2,MASCULINO,1,
,,,FEMININO,2,
,,,IGNORADO,-1,
TAMESTAB,Tamanho do estabelecimento - empregados ativos em 31/12 (10 categorias),2,ZERO,1,
,,,ATE 4,2,
,,,DE 5 A 9,3,
,,,DE 10 A 19,4,
,,,DE 20 A 49,5,
,,,DE 50 A 99,6,
,,,DE 100 A 249,7,
,,,DE 250 A 499,8,
,,,DE 500 A 999,9,
,,,1000 OU MAIS,10,
,,,IGNORADO,-1,
TEMP EMPR,Tempo de emprego do trabalhador (quando acumulada representa a soma dos meses),5,<999v9>,"999,9",
TIPO ADM,Tipo de admissão,2,PRIM EMPREGO,1,
,,,REEMPREGO,2,
,,,TRANS C/ONUS,3,
,,,TRANS S/ONUS,4,
,,,OUTROS,5,
,,,REINTEGRACAO,6,
,,,RECONDUCAO,7,
,,,REVERSAO,8,
,,,EXERC PROVIS,9,
,,,REQUISICAO,10,
,,,NAO ADM ANO,0,
,,,IGNORADO,-1,
TIPO ESTBL,Tipo de estabelecimento,2,CNPJ,1,
,,,CEI,3,
,,,NAO IDENTIF,9,
,,,IGNORADO,-1,
TIPO ESTBL,Tipo de estabelecimento,4,CNPJ ou CEI,CNPJ ou CEI,
TP DEFIC,Tipo de deficiência/Beneficiário habilitado,2,FISICA,1,
,,,AUDITIVA,2,
,,,VISUAL,3,
,,,MENTAL,4,
,,,MULTIPLA,5,
,,,REABILITADO,6,
,,,NAO DEFIC,0,
,,,IGNORADO,-1,
TP VINCULO,Tipo de vínculo empregatício,2,CLT U/PJ IND,10,
,,,CLT U/PF IND,15,
,,,CLT R/PJ IND,20,
,,,CLT R/PF IND,25,
,,,ESTATUTARIO,30,
,,,ESTAT RGPS,31,
,,,ESTAT N/EFET,35,
,,,AVULSO,40,
,,,TEMPORARIO,50,
,,,APREND CONTR,55,
,,,CLT U/PJ DET,60,
,,,CLT U/PF DET,65,
,,,CLT R/PJ DET,70,
,,,CLT R/PF DET,75,
,,,DIRETOR,80,
,,,CONT PRZ DET,90,
,,,CONT TMP DET,95,
,,,CONT LEI EST,96,
,,,CONT LEI MUN,97,
,,,IGNORADO,-1,
