CNAE 1.0 Classe
01112:Cultivo de Cereais para Grãos
01120:Cultivo de Algodão Herbáceo
01139:Cultivo de Canade Açúcar
01147:Cultivo de Fumo
01155:Cultivo de Soja
01198:Cultivo de Outros Produtos de Lavoura Temporária
"01210:Cultivo de Hortaliças, Legumes e Outros Produtos da Horticultura"
"01228:Cultivo de Flores, Plantas Ornamentais e Produtos de Viveiro"
01317:Cultivo de Frutas Cítricas
01325:Cultivo de Café
01333:Cultivo de Cacau
01341:Cultivo de Uva
01392:Cultivo de Outros Produtos de Lavoura Permanente
01414:Criação de Bovinos
01422:Criação de Outros Animais de Grande Porte
01430:Criação de Ovinos
01449:Criação de Suínos
01457:Criação de Aves
01465:Criação de Outros Animais
01503:Produção Mista: Lavoura e Pecuária
01619:Atividades de Serviços Relacionados com a Agricultura
"01627:Atividades de Serviços Relacionados com a Pecuária, Exceto Atividades Veterinárias"
"01708:Caça, Repovoamento Cinegético e Serviços Relacionados"
02119:Silvicultura
02127:Exploração Florestal
02135:Atividades de Serviços Relacionados com a Silvicultura e a Exploração Florestal
05118:Pesca e Serviços Relacionados
05126:AqÜIcultura e Serviços Relacionados
10006:Extração de Carvão Mineral
11100:Extração de Petróleo e Gás Natural
11207:Atividades de Serviços Relacionados com a Extração de Petróleo e Gás  Exceto a Prospecção Realizada por Terceiros
13102:Extração de Minério de Ferro
13218:Extração de Minério de Alumínio
13226:Extração de Minério de Estanho
13234:Extração de Minério de Manganês
13242:Extração de Minério de Metais Preciosos
13250:Extração de Minerais Radioativos
13293:Extração de Outros Minerais Metálicos Nãoferrosos
"14109:Extração de Pedra, Areia e Argila"
"14214:Extração de Minerais para Fabricação de Adubos, Fertilizantes e Produtos Químicos"
14222:Extração e Refino de Sal Marinho e Salgema
14290:Extração de Outros Minerais Nãometálicos
"15113:Abate de Reses, Preparação de Produtos de Carne"
15121:Abate de Aves e Outros Pequenos Animais e Preparação de Produtos de Carne
"15130:Preparação de Carne, Banha e Produtos de Salsicharia não Associada ao Abate"
"15148:Preparação e Preservação do Pescado e Fabricação de Conservas de Peixes, Crustáceos e Moluscos"
"15210:Processamento, Preservação e Produção de Conservas de Frutas"
"15229:Processamento, Preservação e Produção de Conservas de Legumes e Outros Vegetais"
15237:Produção de Sucos de Frutas e de Legumes
15318:Produção de Óleos Vegetais em Bruto
15326:Refino de Óleos Vegetais
15334:Preparação de Margarina e de Outras Gorduras Vegetais e de Óleos de Origem Animal não Comestíveis
15415:Preparação do Leite
15423:Fabricação de Produtos do Laticínio
15431:Fabricação de Sorvetes
15512:Beneficiamento de Arroz e Fabricação de Produtos do Arroz
15520:Moagem de Trigo e Fabricação de Derivados
15539:Fabricação de Farinha de Mandioca e Derivados
15547:Fabricação de Farinha de Milho e Derivados
15555:Fabricação de Amidos e Féculas de Vegetais e Fabricação de Óleos de Milho
15563:Fabricação de Rações Balanceadas para Animais
"15598:Beneficiamento, Moagem  e Preparação de Outros Produtos de Origem Vegetal"
15610:Usinas de Açúcar
15628:Refino e Moagem de Açúcar
15717:Torrefação e Moagem de Café
15725:Fabricação de Café Solúvel
"15814:Fabricação de Produtos de Padaria, Confeitaria e Pastelaria"
15822:Fabricação de Biscoitos e Bolachas
"15830:Produção de Derivados do Cacau e Elaboração de Chocolates, Balas, Gomas de Mascar"
15849:Fabricação de Massas Alimentícias
