Município
110001:Ro-Alta Floresta D Oeste
110002:Ro-Ariquemes
110003:Ro-Cabixi
110004:Ro-Cacoal
110005:Ro-Cerejeiras
110006:Ro-Colorado do Oeste
110007:Ro-Corumbiara
110008:Ro-Costa Marques
110009:Ro-Espigao D Oeste
110010:Ro-Guajara-Mirim
110011:Ro-Jaru
110012:Ro-Ji-Parana
110013:Ro-Machadinho D Oeste
110014:Ro-Nova Brasilandia D Oeste
110015:Ro-Ouro Preto do Oeste
110018:Ro-Pimenta Bueno
110020:Ro-Porto Velho
110025:Ro-Presidente Medici
110026:Ro-Rio Crespo
110028:Ro-Rolim de Moura
110029:Ro-Santa Luzia D Oeste
110030:Ro-Vilhena
110032:Ro-Sao Miguel do Guapore
110033:Ro-Nova Mamore
110034:Ro-Alvorada D Oeste
110037:Ro-Alto Alegre dos Parecis
110040:Ro-Alto Paraiso
110045:Ro-Buritis
110050:Ro-Novo Horizonte do Oeste
110060:Ro-Cacaulandia
110070:Ro-Campo Novo de Rondonia
110080:Ro-Candeias do Jamari
110090:Ro-Castanheiras
110092:Ro-Chupinguaia
110094:Ro-Cujubim
110100:Ro-Governador Jorge Teixeira
110110:Ro-Itapua do Oeste
110120:Ro-Ministro Andreazza
110130:Ro-Mirante da Serra
110140:Ro-Monte Negro
110143:Ro-Nova Uniao
110145:Ro-Parecis
110146:Ro-Pimenteiras do Oeste
110147:Ro-Primavera da Rondonia
110148:Ro-Sao Felipe D Oeste
110149:Ro-Sao Francisco do Guapore
110150:Ro-Seringueiras
110155:Ro-Teixeiropolis
110160:Ro-Theobroma
110170:Ro-Urupa
110175:Ro-Vale do Anari
110180:Ro-Vale do Paraiso
119999:Ro-Ignorado
120001:Ac-Acrelandia
120005:Ac-Assis Brasil
120010:Ac-Brasileia
120013:Ac-Bujari
120017:Ac-Capixaba
120020:Ac-Cruzeiro do Sul
120025:Ac-Epitaciolandia
120030:Ac-Feijo
120032:Ac-Jordao
120033:Ac-Mancio Lima
120034:Ac-Manoel Urbano
120035:Ac-Marechal Thaumaturgo
120038:Ac-Placido de Castro
120039:Ac-Porto Walter
120040:Ac-Rio Branco
120042:Ac-Rodrigues Alves
120043:Ac-Santa Rosa do Purus
120045:Ac-Senador Guiomard
120050:Ac-Sena Madureira
120060:Ac-Tarauaca
120070:Ac-Xapuri
120080:Ac-Porto Acre
129999:Ac-Ignorado
130002:Am-Alvaraes
130006:Am-Amatura
130008:Am-Anama
130010:Am-Anori
130014:Am-Apui
130020:Am-Atalaia do Norte
130030:Am-Autazes
130040:Am-Barcelos
130050:Am-Barreirinha
130060:Am-Benjamin Constant
130063:Am-Beruri
130068:Am-Boa Vista do Ramos
130070:Am-Boca do Acre
130080:Am-Borba
130083:Am-Caapiranga
130090:Am-Canutama
130100:Am-Carauari
130110:Am-Careiro
130115:Am-Careiro da Varzea
130120:Am-Coari
130130:Am-Codajas
130140:Am-Eirunepe
130150:Am-Envira
130160:Am-Fonte Boa
