CNAE 2.0 Subclas
0111301:Cultivo de Arroz
0111302:Cultivo de Milho
0111303:Cultivo de Trigo
0111399:Cultivo de Outros Cereais não Especificados Anteriormente
0112101:Cultivo de Algodão Herbáceo
0112102:Cultivo de Juta
0112199:Cultivo de Outras Fibras de Lavoura Temporária não Especificadas Anteriormente
0113000:Cultivo de Cana-De-Açúcar
0114800:Cultivo de Fumo
0115600:Cultivo de Soja
0116401:Cultivo de Amendoim
0116402:Cultivo de Girassol
0116403:Cultivo de Mamona
0116499:Cultivo de Outras Oleaginosas de Lavoura Temporária não Especificadas Anteriormente
0119901:Cultivo de Abacaxi
0119902:Cultivo de Alho
0119903:Cultivo de Batata-Inglesa
0119904:Cultivo de Cebola
0119905:Cultivo de Feijão
0119906:Cultivo de Mandioca
0119907:Cultivo de Melão
0119908:Cultivo de Melancia
0119909:Cultivo de Tomate Rasteiro
0119999:Cultivo de Outras Plantas de Lavoura Temporária não Especificadas Anteriormente
"0121101:Horticultura, Exceto Morango"
0121102:Cultivo de Morango
0122900:Cultivo de Flores e Plantas Ornamentais
0131800:Cultivo de Laranja
0132600:Cultivo de Uva
0133401:Cultivo de Açaí
0133402:Cultivo de Banana
0133403:Cultivo de Caju
"0133404:Cultivo de Cítricos, Exceto Laranja"
0133405:Cultivo de Coco-Da-Baía
0133406:Cultivo de Guaraná
0133407:Cultivo de Maçã
0133408:Cultivo de Mamão
0133409:Cultivo de Maracujá
0133410:Cultivo de Manga
0133411:Cultivo de Pêssego
0133499:Cultivo de Frutas de Lavoura Permanente não Especificadas Anteriormente
0134200:Cultivo de Café
0135100:Cultivo de Cacau
0139301:Cultivo de Chá-Da-índia
0139302:Cultivo de Erva-Mate
0139303:Cultivo de Pimenta-Do-Reino
"0139304:Cultivo de Plantas para Condimento, Exceto Pimenta-Do-Reino"
0139305:Cultivo de Dendê
0139306:Cultivo de Seringueira
0139399:Cultivo de Outras Plantas de Lavoura Permanente não Especificadas Anteriormente
"0141501:Produção de Sementes Certificadas, Exceto de Forrageiras para Pasto"
0141502:Produção de Sementes Certificadas de Forrageiras para Formação de Pasto
"0142300:Produção de Mudas e Outras Formas de Propagação Vegetal, Certificadas"
0151201:Criação de Bovinos para Corte
0151202:Criação de Bovinos para Leite
"0151203:Criação de Bovinos, Exceto para Corte e Leite"
0152101:Criação de Bufalinos
0152102:Criação de EqüInos
0152103:Criação de Asininos e Muares
0153901:Criação de Caprinos
"0153902:Criação de Ovinos, Inclusive para Produção de Lã"
0154700:Criação de Suínos
0155501:Criação de Frangos para Corte
0155502:Produção de Pintos de Um Dia
"0155503:Criação de Outros Galináceos, Exceto para Corte"
"0155504:Criação de Aves, Exceto Galináceos"
0155505:Produção de Ovos
0159801:Apicultura
0159802:Criação de Animais de Estimação
0159803:Criação de Escargô
0159804:Criação de Bicho-Da-Seda
0159899:Criação de Outros Animais não Especificados Anteriormente
0161001:Serviço de Pulverização e Controle de Pragas Agrícolas
0161002:Serviço de Poda de árvores para Lavouras
"0161003:Serviço de Preparação de Terreno, Cultivo e Colheita"
0161099:Atividades de Apoio à Agricultura não Especificadas Anteriormente
0162801:Serviço de Inseminação Artificial em Animais
0162802:Serviço de Tosquiamento de Ovinos
0162803:Serviço de Manejo de Animais
0162899:Atividades de Apoio à Pecuária não Especificadas Anteriormente
0163600:Atividades de Pós-Colheita
0170900:Caça e Serviços Relacionados
0210101:Cultivo de Eucalipto
0210102:Cultivo de Acácia-Negra
0210103:Cultivo de Pinus
0210104:Cultivo de Teca
"0210105:Cultivo de Espécies Madeireiras, Exceto Eucalipto, Acácia-Negra, Pinus e Teca"
0210106:Cultivo de Mudas em Viveiros Florestais
0210107:Extração de Madeira em Florestas Plantadas
0210108:Produção de Carvão Vegetal - Florestas Plantadas
0210109:Produção de Casca de Acácia-Negra - Florestas Plantadas
0210199:Produção de Produtos Não-Madeireiros não Especificados Anteriormente em Florestas Plantadas
0220901:Extração de Madeira em Florestas Nativas
0220902:Produção de Carvão Vegetal - Florestas Nativas
0220903:Coleta de Castanha-Do-Pará em Florestas Nativas
0220904:Coleta de Látex em Florestas Nativas
0220905:Coleta de Palmito em Florestas Nativas
0220906:Conservação de Florestas Nativas
0220999:Coleta de Produtos Não-Madeireiros não Especificados Anteriormente em Florestas Nativas
0230600:Atividades de Apoio à Produção Florestal
0311601:Pesca de Peixes em água Salgada
0311602:Pesca de Crustáceos e Moluscos em água Salgada
0311603:Coleta de Outros Produtos Marinhos
0311604:Atividades de Apoio à Pesca em água Salgada
0312401:Pesca de Peixes em água Doce
0312402:Pesca de Crustáceos e Moluscos em água Doce
0312403:Coleta de Outros Produtos Aquáticos de água Doce
0312404:Atividades de Apoio à Pesca em água Doce
0321301:Criação de Peixes em água Salgada e Salobra
